epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,1753.36,0.48657,0.5893,1.14715,0.95152,0.67389,0.77383,0.67638,0.57752,0.71513,1.25719,0.0001486,0.0001486,0.0001486
88,1773.2,0.47266,0.56482,1.1364,0.93832,0.68827,0.76153,0.6576,0.59175,0.68784,1.24965,0.0001387,0.0001387,0.0001387
89,1793.41,0.46507,0.59186,1.11321,0.92418,0.69266,0.75536,0.66809,0.57,0.68787,1.22455,0.0001288,0.0001288,0.0001288
90,1813.66,0.47686,0.53733,1.13997,0.91638,0.70369,0.74376,0.66498,0.56701,0.63109,1.21214,0.0001189,0.0001189,0.0001189
91,1834.95,0.42432,0.63086,1.14504,0.64442,0.71443,0.74235,0.64806,0.59813,0.65307,1.25291,0.000109,0.000109,0.000109
92,1855.18,0.36883,0.49708,1.12886,0.92716,0.67559,0.75116,0.66795,0.58676,0.63247,1.22185,9.91e-05,9.91e-05,9.91e-05
93,1875.1,0.36582,0.45351,1.08426,0.92546,0.71502,0.75768,0.67149,0.5346,0.58692,1.17111,8.92e-05,8.92e-05,8.92e-05
94,1895.23,0.34936,0.42089,1.06705,0.93405,0.71502,0.76235,0.68155,0.50046,0.58118,1.16259,7.93e-05,7.93e-05,7.93e-05
95,1914.85,0.33926,0.39765,1.07262,0.67126,0.91663,0.79585,0.71913,0.50702,0.55695,1.16273,6.94e-05,6.94e-05,6.94e-05
96,1935.07,0.33318,0.40653,1.05506,0.6669,0.91663,0.77919,0.701,0.52732,0.54929,1.16528,5.95e-05,5.95e-05,5.95e-05
97,1954.69,0.33852,0.42573,1.07531,0.66715,0.79656,0.75039,0.67842,0.51066,0.6055,1.14267,4.96e-05,4.96e-05,4.96e-05
98,1974.9,0.32647,0.39714,1.06101,0.89631,0.72854,0.74312,0.67831,0.49253,0.62569,1.1371,3.97e-05,3.97e-05,3.97e-05
99,1994.66,0.31977,0.38851,1.04382,0.64017,0.79839,0.75687,0.69469,0.48877,0.61435,1.13722,2.98e-05,2.98e-05,2.98e-05
100,2014.54,0.31075,0.3882,1.04543,0.62975,0.79839,0.77428,0.70348,0.49643,0.61788,1.13852,1.99e-05,1.99e-05,1.99e-05
